LG V10,Snapdragon 808,Quad-core 1.44 GHz Cortex-A53,Adreno 418,64 GB,"microSD, up to 200 GB",4 GB,Android 5.1.1 Lollipop,,159.6 x 79.3 x 8.6 mm,192 g,3000 mAh Li-Ion Removable Battery,"5.7"" 2560 x 1440","16 MP (rear camera), 5 MP Duo (front camera)"
Nexus 6P,Snapdragon 810,Quad-core 2.0 GHz Cortex A53 & quad-core 1.5 GHz Cortex A57,Adreno 430,"32 GB, 64 GB, 128 GB",,3 GB LPDDR4,Android 6.0 Marshmallow,,159.3 x 77.8 x 7.3 mm,178g,3450 mAh Li-Po non-removable battery,"5.7"" 2560 x 1440",12.3MP (rear camera) 8MP (front camera)
Nexus 5X,Snapdragon 808,Dual-core 1.82 GHz Cortex-A57 & Quad-core 1.44 GHz Cortex-A53,Adreno 418,"16 GB, 32 GB",,2 GB LPDDR3,Android 6.0 Marshmallow,,147 x 72.6 x 7.9 mm,136g,2700 mAh Li-Po non-removable battery,"5.2"" 1920 x 1080","12.3MP (rear camera), 5MP (front camera)"
BlackBerry Priv,Snapdragon 808,Dual-core 1.82 GHz Cortex-A57,Adreno 418,32 GB,microSD up to 2TB,3 GB LPDDR3,Android 5.1.1 Lollipop,,147 x 77.2 x 9.4 mm,192g,3410 mAh Li-Po non-removable battery,5.43” 2560 x 1440,"18MP (rear camera), 2MP (front camera)"
Sony Xperia Z3+,Snapdragon 810,Quad-core 1.5 GHz Cortex-A53 & Quad-core 2 GHz Cortex-A57,Adreno 430,32 GB,microSD up to 128 GB,3 GB LPDDR4,,None,146 x 72 x 6.9 mm,144 g (5.08 oz),2930 mAh Li-Po non-removable battery,"5.2"" 1920x1080","20.7 MP (rear camera), 5.1 MP (front camera)"
Moto X Play,Snapdragon 615,Quad-core 1.7 GHz Cortex-A53 & Quad-core 1.0 GHz Cortex-A53,Adreno 405,"16 GB, 32 GB",microSD up to 128 GB,2 GB LPDDR3,Android 5.1.1 Lollipop,None,148 x 75 x 10.9 mm,169 g (5.96 oz),3630 mAh Li-Po non-removable battery,"5.5"" 1920x1080","21 MP (rear camera), 5 MP (front camera)"
LG G4,Snapdragon 808,Dual-core 1.82 GHz Cortex-A57 & Quad-core 1.44 GHz Cortex-A53,Adreno 418,32 GB,microSDXC up to 2 TB,3 GB LPDDR3,Android 5.1 Lollipop,LG UX 4.0 UI,148.9 x 76.1 x 6.3 - 9.8 mm,155 g (5.47 oz),3000 mAh Li-Po removable battery,"5.5"" 2560 x 1440","16 MP (rear camera), 8 MP (front camera)"
OnePlus 2,Snapdragon 810,Quad-core Cortex-A53 & Quad-core 1.8 GHz Cortex-A57,Adreno 430,"16 GB, 64 GB",N/A,3 or 4 GB LPDDR4,Android 5.1.1 Lollipop,Oxygen OS 2.0,151.8 x 74.9 x 9.85 mm,175 g (6.2 oz),3300 mAh Li-Po non-removable battery,"5.5"" 1920x1080","13 MP (rear camera), 5 MP (front camera)"
Apple iPhone 6S,Apple A9,Dual-core 1.85 GHz,PowerVR GT7600,"16 GB, 64 GB, 128 GB",N/A,2 GB LPDDR4,"iOS 9, upgradeable to iOS 10",SpringBoard,138.3 x 67.1 x 7.1 mm,143 g (5.04 oz),1715 mAh Li-Po non-removable battery,"4.7"" 1334x750","12 MP (rear camera), 5 MP (front camera)"
Apple iPhone 6S Plus,Apple A9,Dual-core 1.85 GHz,PowerVR GT7600,"16 GB, 64 GB, 128 GB",N/A,2 GB LPDDR4,"iOS 9, upgradeable to iOS 10",SpringBoard,158.2 x 77.9 x 7.3 mm,192g (6.77 oz),2915 mAh Li-Po non-removable battery,"5.5"" 1920x1080","12 MP (rear camera), 5 MP (front camera)"
Samsung Galaxy S6,Samsung Exynos 7 Octa 7420,Quad-core 2.1 GHz Cortex-A57 & Quad-core 1.5 GHz Cortex-A53,Mali-T760 MP8,"32 GB, 64 GB, 128 GB",N/A,3 GB LPDDR4,Android 5.0.2 Lollipop,Touchwiz,143.4 x 70.5 x 6.8 mm,138 g (4.9 oz),2550 mAh Li-Po non-removable battery,"5.1"" 2560x1440","16 MP (rear camera), 5 MP (front camera)"
Samsung Galaxy S6 Edge,Samsung Exynos 7 Octa 7420,Quad-core 2.1 GHz Cortex-A57 & Quad-core 1.5 GHz Cortex-A53,Mali-T760 MP8,"32 GB, 64 GB, 128 GB",N/A,3 GB LPDDR4,Android 5.0.2 Lollipop,Touchwiz,142 x 70.1 x 7 mm,132 g (4.7 oz),2600 mAh Li-Po non-removable battery,"5.1"" 2560x1440","16 MP (rear camera), 5 MP (front camera)"
Samsung Galaxy S6 Edge+,Samsung Exynos 7 Octa 7420,Quad-core 2.1 GHz Cortex-A57 & Quad-core 1.5 GHz Cortex-A53,Mali-T760 MP8,"32 GB, 64 GB, 128 GB",N/A,4 GB LPDDR4,Android 5.1.1 Lollipop,Touchwiz,154.4 x 75.8 x 6.9 mm,153 g (5.4 oz),3000 mAh Li-Po non-removable battery,"5.7"" 2560x1440","16 MP (rear camera), 5 MP (front camera)"
Samsung Galaxy Note 5,Samsung Exynos 7 Octa 7420,Quad-core 2.1 GHz Cortex-A57 & Quad-core 1.5 GHz Cortex-A53,Mali-T760 MP8,"32 GB, 64 GB, 128 GB",N/A,4 GB LPDDR4,Android 5.1.1 Lollipop,Touchwiz,153.2 x 76.1 x 7.6 mm,171 g (6.0 oz),3020 mAh Li-Po non-removable battery,"5.7"" 2560x1440","16 MP (rear camera), 5 MP (front camera)"
Sony Xperia Z5,Snapdragon 810,Quad-core 2.0 GHz Cortex-A57 & Quad-core 1.5 GHz Cortex-A53,Adreno 430,32 GB,Up to 200 GB microSDXC,3 GB LPDDR4,Android 5.1.1 Lollipop,,146 x 72 x 7.3 mm,154 g (5.4 oz),2900 mAh Li-Po non-removable battery,"5.2"" 1920x1080","23 MP (rear camera), 5 MP (front camera)"
HTC One (M8),Snapdragon 801,Quad-core 2.5 GHz Krait 400 Qualcomm MSM8975AC,Adreno 330by,"16 GB,32 GB",microSD up to 128 GB,2 GB,Android v4.4.2 kitKat,HTC Sense 6.0,146.4 x 70.6 x 9.4mm,160 g,Li-Ion 2600 mAh,"5.0"" 1920x1080",4 MP (rear camera) w UltraPixel  5.0 MP (front camera)
LG G3,Snapdragon 801,Quad-core 2.5 GHz Krait 400 Qualcomm MSM8975AC ,Adreno 330,"16 GB,32 GB",microSD up to 128 GB,"2 GB, 3 GB",Android v4.4.2 kitKat,,146.3 x 74.6 x 8.9mm,149 g,"Li-Ion 3000 mAh, removable","5.5"" 2560x1440","13 MP (rear camera), 2.1 MP (front camera)"
Apple iPhone 6,Apple A8,1.4 GHz dual-core,PowerVR Series 6 GX6450,"16 GB, 64 GB, 128 GB",N/A,1 GB LPDDR3 RAM,iOS 8,SpringBoard,138.1 x 67 x 6.9 mm,129g,Non-removable Li-Po 1810 mAh,"4.7"" 1334x750","8 MP (rear camera), 1.2 MP (front camera)"
Apple iPhone 6 Plus,Apple A8,1.4 GHz dual-core,PowerVR Series 6 GX6450,"16 GB, 64 GB, 128 GB",N/A,1 GB LPDDR3 RAM,iOS 8,SpringBoard,158.1 x 77.8 x 7.1 mm,172g,Non-removable Li-Po 2915 mAh,"5.5"" 1920x1080","8 MP (rear camera), 1.2 MP (front camera)"
Samsung Galaxy S5,Cortex-A15,1.9 GHz quad-core  and 1.3 GHz quad-core Cortex-A7,ARM Mali T628MP6 or Adreno 330,"16 GB, 32 GB",microSD up to 128 GB,2 GB LPDDR3 RAM,Android Android KitKat 4.4.2,TouchWiz,142 x 72.5 x 8.1 mm,145g,"Li-Ion 2800 mAh, removable","5.1"" 1920 x 1080, 432 ppi",16 MP with 4K(2160p) video recording (rear camera) 2.1 MP (front camera)
Samsung Galaxy Note 4,,1.9 GHz quad-core and 1.3 GHz quad-core Cortex-A53,ARM Mali T760 or Adreno 420,32 GB,microSD up to 128 GB,3 GB LPDDR3 RAM,,TouchWiz,153.5 x 78.6 x 8.5 mm,176g,,"5.7"" 2560 x 1440, 515 ppi","16 MP, 4K(2160p), 3.7 MP (front camera)"
Sony Xperia Z3,Snapdragon 801,Qualcomm  MSM8974AC 801 @ 2.5 GHz,Adreno 330,32 GB for D6616,microSD up to 128 GB,3 GB LPDDR3 RAM,Android Android KitKat 4.4.4,,146 x 72 x 7.3  mm,152g,,"5.15"" BRAVIA IPS (1080 x 1920, 424 ppi)","20.7 MP, 4K video"
